2011-10-12 14:27:41 status unpacked lsb-base 4.0-0ubuntu16
2011-10-12 14:27:41 status unpacked lsb-base 4.0-0ubuntu16
2011-10-12 14:27:41 install makedev <none> 2.3.1-89ubuntu1
2011-10-12 14:27:41 status half-installed makedev 2.3.1-89ubuntu1
2011-10-12 14:27:41 status unpacked makedev 2.3.1-89ubuntu1
2011-10-12 14:27:41 status unpacked makedev 2.3.1-89ubuntu1
2011-10-12 14:27:41 upgrade mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2011-10-12 14:27:41 status half-configured mawk 1.3.3-15ubuntu2
2011-10-12 14:27:41 status unpacked mawk 1.3.3-15ubuntu2
2011-10-12 14:27:41 status half-installed mawk 1.3.3-15ubuntu2
2011-10-12 14:27:41 status half-installed mawk 1.3.3-15ubuntu2
2011-10-12 14:27:41 status unpacked mawk 1.3.3-15ubuntu2
2011-10-12 14:27:41 status unpacked mawk 1.3.3-15ubuntu2
2011-10-12 14:27:41 install module-init-tools <none> 3.16-1ubuntu1
2011-10-12 14:27:41 status half-installed module-init-tools 3.16-1ubuntu1
2011-10-12 14:27:41 status unpacked module-init-tools 3.16-1ubuntu1
2011-10-12 14:27:41 status unpacked module-init-tools 3.16-1ubuntu1
2011-10-12 14:27:41 install mount <none> 2.19.1-2ubuntu3
2011-10-12 14:27:41 status half-installed mount 2.19.1-2ubuntu3
2011-10-12 14:27:41 status unpacked mount 2.19.1-2ubuntu3
2011-10-12 14:27:41 status unpacked mount 2.19.1-2ubuntu3
